a_node_id,b_node_id,distance,a_node_lat,a_node_lon,b_node_lat,b_node_lon
1880663291,3131808163,0.000268,40.373470,49.841843,40.373539,49.842101
5910484790,4495237322,0.002176,40.373962,49.844087,40.374632,49.846157
276857368,276876535,0.000286,40.369145,49.837475,40.369344,49.837270
276876535,3034103467,0.000506,40.369344,49.837270,40.369692,49.836903
276370540,3301800603,0.000855,40.371185,49.848603,40.371918,49.848162
276876570,276876571,0.000504,40.373415,49.840170,40.372947,49.840358
276876571,276873439,0.000867,40.372947,49.840358,40.372150,49.840698
276873439,276873612,0.001060,40.372150,49.840698,40.371191,49.841150
276873614,276873612,0.001020,40.370950,49.840159,40.371191,49.841150
276873612,276371753,0.001691,40.371191,49.841150,40.371610,49.842789
276371753,5079651135,0.001755,40.371610,49.842789,40.372196,49.844443
5079651135,276371995,0.000088,40.372196,49.844443,40.372226,49.844526
276873619,3131831650,0.000058,40.371677,49.839513,40.371730,49.839489
3131831650,3131831651,0.000040,40.371730,49.839489,40.371769,49.839492
3131831651,3131831652,0.000034,40.371769,49.839492,40.371800,49.839506
3131831652,3131831653,0.000028,40.371800,49.839506,40.371822,49.839524
3131831653,3131831655,0.000034,40.371822,49.839524,40.371842,49.839550
3131831655,3131831656,0.000058,40.371842,49.839550,40.371867,49.839603
3131831656,3131831657,0.000089,40.371867,49.839603,40.371889,49.839689
3131831657,276873439,0.001043,40.371889,49.839689,40.372150,49.840698
276873441,276371754,0.001218,40.372278,49.841226,40.372577,49.842407
276876492,1875583163,0.001470,40.369970,49.840041,40.371027,49.839019
1875583163,276876491,0.000826,40.371027,49.839019,40.371630,49.838454
276876512,276876491,0.000222,40.371792,49.838302,40.371630,49.838454
276876514,276876515,0.000780,40.369733,49.838333,40.370126,49.839007
276876521,276876515,0.001356,40.371044,49.838009,40.370126,49.839007
276876515,276876523,0.000682,40.370126,49.839007,40.369662,49.839507
276876524,276876521,0.000309,40.371232,49.837764,40.371044,49.838009
276876526,276876527,0.000683,40.370353,49.837684,40.369881,49.838178
276876527,276876514,0.000214,40.369881,49.838178,40.369733,49.838333
276876514,276876528,0.000677,40.369733,49.838333,40.369252,49.838809
276876534,276876527,0.000611,40.369570,49.837652,40.369881,49.838178
276876535,276876534,0.000444,40.369344,49.837270,40.369570,49.837652
276873439,276873441,0.000542,40.372150,49.840698,40.372278,49.841226
3463121868,276886236,0.000524,40.369240,49.834695,40.369715,49.834475
276886236,277336558,0.000518,40.369715,49.834475,40.370190,49.834270
277336558,277335821,0.000600,40.370190,49.834270,40.370738,49.834026
277335821,277358940,0.000576,40.370738,49.834026,40.371264,49.833790
1629639612,1772368580,0.000065,40.374714,49.832264,40.374777,49.832248
1772368580,3204990711,0.000055,40.374777,49.832248,40.374831,49.832253
3204990711,1772368582,0.000060,40.374831,49.832253,40.374883,49.832283
1772368582,5052220351,0.000073,40.374883,49.832283,40.374929,49.832341
5052220351,1629639614,0.000167,40.374929,49.832341,40.374981,49.832499
7238310571,3454030841,0.001094,40.369132,49.834759,40.369387,49.835823
276886236,277336153,0.001726,40.369715,49.834475,40.369288,49.832803
277336153,277335972,0.000730,40.369288,49.832803,40.369107,49.832095
276886949,277335820,0.000595,40.370567,49.831087,40.369986,49.831219
6439804313,6439804311,0.000144,40.379156,49.829155,40.379017,49.829193
6439804311,6439804309,0.000122,40.379017,49.829193,40.378897,49.829214
6439804309,6439804310,0.000164,40.378897,49.829214,40.378733,49.829229
